DUMMY,DUMMY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,8,5.408,20,0,0.12,0.14,0,0.091137977,1,0,34,6,0,0.25,0.131956948,0.25,5.6816E-07,0.3,150.00,338.93,0
3,9,5.928,55,0,0.12,0.14,0,0.107108107,1,0,34,7,0,0.25,7834.682459,0.25,0.003326239,0.3,100.00,22.24,0
3,10,5.824,55,0,0.12,0.01,0,0.144301257,1,0.01,34,7,0,0.25,3184530037,0.25,136.7543068,0.3,80.00,0.86,0
3,11,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,0.00,0.00,0
3,12,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,0.00,0.00,0
3,13,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,0.00,0.00,0
3,14,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
3,15,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
3,16,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
3,17,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
3,18,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
3,19,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
3,20,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
3,21,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
3,22,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
3,23,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
3,24,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
3,25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
3,26,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
4,1,4.7808,40,0,0.7,0.01,0,0.453822804,1,0.08,32,8,0,0.25,0,0.25,0.001831401,0.3,,17.37,0
4,2,4.992,30,0,0.7,0.01,0,0.470355803,1,0.08,32,6,0,0.25,0,0.25,0.001115795,0.3,,20.51,0
4,3,4.7808,40,0,0.7,0.01,0,0.480652573,1,0.08,32,7,0,0.25,0,0.25,0.004725786,0.3,,13.20,0
4,4,4.608,45,0,0.7,0.01,0,0.443603271,1,0.08,32,7,0,0.25,0,0.25,0.000645269,0.3,,22.93,0
4,5,5.28,50,0,0.7,0.008,0,0.427209874,1,0.08,32,8,0,0.25,0,0.25,0.066512088,0.3,,5.49,0
4,6,5.136,50,0,0.7,0.008,0,0.427231302,1,0.08,32,8,0,0.25,0,0.25,0.000977306,0.3,,18.89,0
4,7,5.904,30,0,0.7,0.01,0,0.480679002,1,0.11,33,6,0,0.25,0,0.25,0.029960529,0.3,,8.73,0
4,8,4.7808,40,0,0.7,0.01,0,0.301424084,1,0.01,50,8,81638.30729,0.25,0,0.25,0.000119853,0.3,,26.17,0
4,9,4.992,30,0,0.7,0.01,0,0.391646905,1,0.01,50,6,6516.185265,0.25,0,0.25,4.23292E-05,0.3,,51.27,0
4,10,4.7808,40,0,0.7,0.01,0,0.301424084,1,0.01,50,7,56128.49321,0.25,0,0.25,0.000146361,0.3,,28.09,0
